Kod, Miasto
13356,Olszewnica
13474,Polskowola
13505,Rudnik
13511,Sokule
13528,Żakowola Stara
13534,Turów
13652,Wygnanka
13675,Zosinowo
13681,Żakowola Poprzeczna
13698,Żakowola Radzyńska
13706,Dobratycze
13712,Dobromyśl
13729,Elżbiecin
13735,Kąty
13758,Kodeń
13899,Kopytów
13920,Kopytów-Kolonia
13936,Kostomłoty
13942,Kostomłoty
13959,Kożanówka
13965,Okczyn
14002,Olszanki
14031,Szostaki
14054,Zabłocie
14083,Zabłocie-Kolonia
14108,Zagacie
14114,Zalewsze
14120,Brzeziny
14137,Brzozowy Kąt
14150,Derewiczna
14166,Kolembrody
14255,Komarówka Podlaska
14261,Przegaliny Duże
14290,Przegaliny Małe
14309,Walinna
14338,Wiski
14344,Woroniec
14350,Wólka Komarowska
14367,Żelizna
14404,Żulinki
14410,Antolin
14427,Gnojno
14433,Komarno
14440,Komarno-Kolonia
14456,Konstantynów
14462,Konstantynów-Kolonia
14479,Solinki
14485,Wandopol
14491,Wiechowicze
14500,Witoldów
14516,Wólka Polinowska
14522,Zakalinki
14539,Zakalinki-Kolonia
14545,Zakanale
14551,Bukowice
14568,Bukowice-Kolonia
14574,Droblin
14628,Jagodnica
14634,Klukowszczyzna
14640,Leśna Podlaska
14657,Ludwinów
14663,Mariampol
14670,Nosów
14692,Nosów-Kolonia
14717,Nowa Bordziłówka
14723,Ossówka
14730,Ossówka
14746,Stara Bordziłówka
14769,Witulin
14781,Witulin-Kolonia
14812,Worgule
14829,Zaberbecze
14835,Bielany
14864,Burwin
14870,Dubów
14960,Huszcza Druga
15013,Huszcza Pierwsza
15071,Jusaki
15102,Kopytnik
15160,Korczówka
15237,Koszoły
15295,Kozły
15326,Krasówka
15355,Lubenka
15361,Łomazy
15409,Stasiówka
15415,Studzianka
15450,Szymanowo
15473,Wola Dubowska
15480,Wólka Korczowska
15496,Biernaty Średnie
15504,Chotycze
15510,Chotycze-Kolonia
15527,Czuchleby
15533,Dzięcioły
15540,Jeziory
15556,Łuzki
15562,Różowa
15579,Meszki
15585,Niemojki
15591,Nowosielec
15600,Patków
15616,Rudnik
15622,Stare Biernaty
15639,Szańków
15645,Świniarów
15651,Toporów
15668,Woźniki
15674,Zakrze
15680,Bereza
15697,Dołhołęka
15705,Halasy
15728,Jelnica
15763,Kolonia Wolańska
15770,Koszeliki
15786,Kożuszki
15792,Krzewica
15800,Krzymoszyce
15817,Łuby
15823,Łukowisko
15852,Łuniew
15869,Manie
15898,Przyłuki
15906,Misie
15970,Pościsze
16001,Przychody
16047,Puchacze
16060,Rogoźnica
16107,Rogoźnica-Kolonia
16120,Rogoźniczka
16136,Rudniki
16142,Rzeczyca
16165,Sawki
16171,Sitno
16188,Strzakły
16260,Tłuściec
16290,Tuliłów
16314,Utrówka
16320,Wólka Krzymowska
16337,Wysokie
16343,Zasiadki
16350,Zaścianki
16366,Zawadki
16372,Żabce
16389,Cichostów
16410,Czeberaki
16426,Kopina
16449,Kostry
16478,Milanów
16509,Okalew
16515,Radcze
16544,Rudno
16580,Rudzieniec
16604,Zieleniec
16610,Bejdy
16627,Bolesty
16633,Dawidy
16640,Hadynów
16656,Klimy
16662,Korczówka
16679,Korczówka-Kolonia
16685,Mszanna
16691,Nowe Łepki
16700,Olszanka
16716,Pietrusy
16722,Próchenki
16739,Radlnia
16745,Stare Łepki
16751,Szawły
16768,Szydłówka
16774,Wyczółki
16780,Babianka
16797,Brudno
16805,Buradów
16811,Jasionka
16857,Koczergi
16863,Komarne
16870,Królewski Dwór
16886,Laski
16892,Michałówka
16900,Pohulanka
16917,Przewłoka
16923,Welin
16930,Siedliki
16946,Sowin
16952,Szytki
16969,Tyśmienica
